,country_name,reporting_year,headcount
2269,"Venezuela, RB",2006,7.130036624332189
296,Central African Republic,2008,61.88422247986082
1729,Papua New Guinea,2009,39.683311918010524
1637,Nepal,2010,8.2404990952601
2130,Tuvalu,2010,3.6253518624721
1238,Jordan,2010,0.040854882816192
436,"Congo, Rep.",2011,35.3574541559435
626,Algeria,2011,0.45546752929687
192,Bosnia and Herzegovina,2011,0.07497875768384855
1303,Lebanon,2011,0.0
1638,Nauru,2012,1.67151079134426
1912,Solomon Islands,2012,26.564885595052928
1161,Iraq,2012,0.088752466893556
434,"Congo, Dem. Rep.",2012,69.68845629321834
1437,Madagascar,2012,80.73005790101064
961,Haiti,2012,29.192194852264343
775,"Micronesia, Fed. Sts.",2013,16.02843764428928
1405,Morocco,2013,1.44311011539477
2286,Samoa,2013,1.1504770214409399
122,Burundi,2013,65.13289285225838
1241,Japan,2013,0.72788788742459
1904,Sudan,2014,15.263059941489459
2307,South Africa,2014,20.49255721376557
432,Cameroon,2014,25.6575177357644
465,Comoros,2014,18.64372174606079
2097,Timor-Leste,2014,24.44307716913404
905,Guatemala,2014,9.52130273061929
1589,Nicaragua,2014,3.94102865666967
1539,Mauritania,2014,6.490837303435961
1532,Mozambique,2014,64.64085921012949
2301,"Yemen, Rep.",2014,19.80275668628586
2316,Zambia,2015,61.35216042615463
1564,Namibia,2015,15.617013667429669
716,Ethiopia,2015,26.984605665663768
2100,Tonga,2015,1.79101784429178
2093,Tajikistan,2015,6.11452914102857
2109,Tunisia,2015,0.14006154740587
468,Cabo Verde,2015,4.564231085764741
1266,Kenya,2015,29.365105854988073
294,Botswana,2015,15.42624203018188
1967,South Sudan,2016,67.32726541036001
863,Ghana,2016,25.20855354885374
1827,West Bank and Gaza,2016,0.5027173410296699
2047,Eswatini,2016,36.0798469644959
1308,St. Lucia,2016,5.12280497053847
1306,Liberia,2016,27.6177478999407
1296,"Korea, Rep.",2016,0.22666514266768
1902,Rwanda,2016,52.00539340040897
2141,"Taiwan, China",2016,0.0
165,Bangladesh,2016,13.468302966183652
1176,Iceland,2017,0.0
289,Bhutan,2017,0.9457623986807001
1542,Mauritius,2017,0.12531370909147
2298,Kosovo,2017,0.44024131140892
1321,Lesotho,2017,32.399910993562955
1970,Sao Tome and Principe,2017,15.551899477593171
574,Djibouti,2017,19.07920729314478
1501,Myanmar,2017,1.9911567272570398
777,Gabon,2017,2.46864195645475
2,Angola,2018,31.12200623143419
1579,Nigeria,2018,30.86329835112231
879,Guinea-Bissau,2018,21.66049061706016
1571,Niger,2018,50.63352560069884
1560,Malaysia,2018,0.011028649556060326
2146,Tanzania,2018,44.94932284336683
19,United Arab Emirates,2018,0.0
342,Switzerland,2018,0.03050398095925662
1198,Israel,2018,0.49676623734505
1910,Senegal,2018,9.33548494973649
1916,Sierra Leone,2018,26.062034121157
156,Burkina Faso,2018,30.53531286554677
150,Benin,2018,19.89600556556809
1302,Lao PDR,2018,7.13836282886032
325,Canada,2018,0.24997110868235
1484,Mali,2018,14.79144236534986
1651,Pakistan,2018,4.9324480598017795
1261,Kazakhstan,2018,0.015140791071523163
869,Guinea,2018,13.82009951713877
1528,Mongolia,2018,0.71158558194555
87,Australia,2018,0.49709397223352003
2051,Seychelles,2018,0.51100400760189
2056,Chad,2018,30.88294258570204
2060,Togo,2018,28.06985483760191
428,Cote d'Ivoire,2018,11.44848100448622
1518,Montenegro,2018,2.8398329979515897
2283,Vanuatu,2019,9.963332941685831
1159,"Iran, Islamic Rep.",2019,0.97122332955519
2129,Turkiye,2019,0.36060978928574
742,Fiji,2019,1.3182688831243
938,Honduras,2019,12.742991740703042
1121,India,2019,10.012202835859151
1290,Kiribati,2019,1.67807681033149
1317,Sri Lanka,2019,0.9586125506559099
2156,Uganda,2019,42.20772862992762
661,"Egypt, Arab Rep.",2019,1.4670147195555399
570,Germany,2019,0.0
416,China,2019,0.06492065429687499
1776,Poland,2019,0.06276071553542777
1995,Slovak Republic,2019,0.11811626194862002
1633,Norway,2019,0.15653396366021
2319,Zimbabwe,2019,39.75453322816893
1547,Malawi,2019,70.06059873873986
1460,Marshall Islands,2019,0.85434437439115
1479,North Macedonia,2019,2.66335043827292
1441,Maldives,2019,0.0
1459,Mexico,2020,3.1000052180539
1288,Kyrgyz Republic,2020,1.3309736024010599
1224,Italy,2020,0.82779176369844
520,Cyprus,2020,0.01264197440140084
541,Czech Republic,2020,0.008142160416451804
2281,Vietnam,2020,0.65462148796514
1865,Romania,2020,1.4093622223873
596,Denmark,2020,0.16499130739850001
1896,Russian Federation,2020,0.010164272341357337
1965,Serbia,2020,1.55703100222385
357,Chile,2020,0.74950309698656
17,Albania,2020,0.021277363604665717
1371,Luxembourg,2020,0.0
2043,Sweden,2020,0.38908953031265003
112,Austria,2020,0.6835775451179
2019,Slovenia,2020,0.0
188,Bulgaria,2020,0.24786348142613
1348,Lithuania,2020,0.18947333362681
217,Belarus,2020,0.0
2180,Ukraine,2020,0.028825608882279675
146,Belgium,2020,0.054725478914178366
684,Spain,2020,0.8863663023359799
899,Greece,2020,0.80649552083132
995,Hungary,2020,0.35147641167508004
874,"Gambia, The",2020,17.24213359131987
1611,Netherlands,2020,0.027963220013571273
830,United Kingdom,2020,0.49933374747614995
959,Croatia,2020,0.31393386132650003
772,France,2020,0.11489582578073002
738,Finland,2020,0.027620898745379967
1499,Malta,2020,0.25567449912881
710,Estonia,2020,0.34865938066804003
1145,Ireland,2020,0.14430558702311
1399,Latvia,2020,0.45501181806683005
1794,Portugal,2020,0.47228972878646003
2252,United States,2020,0.24997408590167
75,Armenia,2021,0.5235208328744501
1429,Moldova,2021,0.0
2087,Thailand,2021,0.013961021769428199
52,Argentina,2021,0.95884664046721
623,Dominican Republic,2021,0.85372851281366
2209,Uruguay,2021,0.11215499916864
651,Ecuador,2021,3.5831801961538403
1819,Paraguay,2021,0.6891791206789599
503,Costa Rica,2021,1.2274486742526
1726,Philippines,2021,6.75413095278623
1679,Panama,2021,1.10825729956848
463,Colombia,2021,6.61351816599708
1706,Peru,2021,2.8717487510435302
856,Georgia,2021,5.48502598138055
285,Brazil,2021,5.82456028316453
